-2	-0.0251974	0.232628
-1.91837	0.0208292	0.117035
-1.83673	0.0335408	0.0153565
-1.7551	0.0248648	-0.0625601
-1.67347	0.00963124	-0.119453
-1.59184	0.000441067	-0.15791
-1.5102	0.00355975	-0.180371
-1.42857	0.0169273	-0.189129
-1.34694	0.0308095	-0.186335
-1.26531	0.0309185	-0.173998
-1.18367	0.00317876	-0.153987
-1.10204	-0.0611397	-0.128035
-1.02041	-0.161326	-0.0977378
-0.938776	-0.285367	-0.0645614
-0.857143	-0.410977	-0.0298394
-0.77551	-0.509489	0.0052225
-0.693878	-0.551848	0.0395451
-0.612245	-0.515398	0.0721731
-0.530612	-0.389876	0.102273
-0.44898	-0.18117	0.129132
-0.367347	0.0881774	0.152153
-0.285714	0.382031	0.170855
-0.204082	0.656771	0.184872
-0.122449	0.869264	0.193947
-0.0408163	0.985059	0.197932
0.0408163	0.985059	0.196786
0.122449	0.869264	0.190574
0.204082	0.656771	0.179461
0.285714	0.382031	0.163712
0.367347	0.0881774	0.143693
0.44898	-0.18117	0.119864
0.530612	-0.389876	0.0927769
0.612245	-0.515398	0.0630781
0.693878	-0.551848	0.0315015
0.77551	-0.509489	-0.00113124
0.857143	-0.410977	-0.0339138
0.938776	-0.285367	-0.0658569
1.02041	-0.161326	-0.0958909
1.10204	-0.0611397	-0.122867
1.18367	0.00317876	-0.145562
1.26531	0.0309185	-0.162676
1.34694	0.0308095	-0.172839
1.42857	0.0169273	-0.174611
1.5102	0.00355975	-0.166484
1.59184	0.000441067	-0.146885
1.67347	0.00963124	-0.114178
1.7551	0.0248648	-0.0666649
1.83673	0.0335408	-0.00258999
1.91837	0.0208292	0.0798597
2	-0.0251974	0.182552
BLAD = 0.349776
